query,category,processed_query
What are the biological effects of inhaling heavy metals from smog?,Health Effects,biological effect inhale heavy metal smog
"Doctor, Could you explain if how does smoke exposure affect elderly patients in assisted living homes?",Vulnerable Groups,doctor could explain smoke exposure affect elderly patient assist live home
What time of day is air quality cleanest for outdoor exercise?,Outdoor Activities,time day air quality cleanest outdoor exercise
How many cigarettes equivalent is breathing air with an AQI of 75 for 24 hours?,Pollution Exposure,many cigarette equivalent breathe air aqi 75 24 hour
How does the Korean KF94 mask standard compare to the American N95?,Masks and Protection,korean kf94 mask standard compare american n95
How does distance from industrial emission stacks reduce particulate concentration?,Pollution Exposure,distance industrial emission stack reduce particulate concentration
Explain what AQI 75 indicates.,AQI Information,explain aqi 75 indicate
Can you tell me: What diseases are directly attributable to poor outdoor air quality?,Health Effects,tell disease directly attributable poor outdoor air quality
What should parents of toddlers with reactive airway disease do during smog?,Vulnerable Groups,parent toddler reactive airway disease smog
Quick question: How does diesel particulate matter induce genotoxicity and DNA breaks?,Health Effects,quick question diesel particulate matter induce genotoxicity dna break
Quick question: Why do pediatricians warn parents to keep babies indoors during red alerts?,Vulnerable Groups,quick question pediatrician warn parent keep baby indoors red alert
Can wearing fitness wearables track physiological stress from sudden pollution exposure?,Pollution Exposure,wear fitness wearable track physiological stress sudden pollution exposure
How can I tell if my anti-pollution respirator has an airtight seal?,Masks and Protection,tell anti pollution respirator airtight seal
Is it true that how does distance from industrial emission stacks reduce particulate concentration?,Pollution Exposure,true distance industrial emission stack reduce particulate concentration
Does rain wash away airborne particulate matter and lower AQI?,AQI Information,rain wash away airborne particulate matter lower aqi
Can you tell me: How can I improve indoor air quality during heavy outdoor smog?,Precautions,tell improve indoor air quality heavy outdoor smog
"Hey AQI-Sense, How does dirty air affect cholesterol levels and arterial plaque?",Health Effects,hey aqi sense dirty air affect cholesterol level arterial plaque
Can washing an N95 mask ruin its electrostatic filtration layer?,Masks and Protection,wash n95 mask ruin electrostatic filtration layer
Could you explain if why do I feel lightheaded after riding my scooter in heavy traffic?,Symptoms,could explain feel lightheaded rid scooter heavy traffic
Is it true that what type of air purifier filter is best for trapping PM2.5?,Precautions,true type air purifier filter best trap pm25
"I want to know, Can you tell me: Can acute smoke inhalation lead to chemical pneumonitis and pulmonary edema?",Respiratory Health,want know tell acute smoke inhalation lead chemical pneumonitis pulmonary edema
Should outdoor construction and heavy manual labor be halted at AQI 275?,Outdoor Activities,outdoor construction heavy manual labor halt aqi 275
What time of day is outdoor air quality cleanest for walking?,Outdoor Activities,time day outdoor air quality cleanest walk
How does ground level ozone destroy the epithelial lining of the bronchi?,Respiratory Health,grind level ozone destroy epithelial line bronchus
How does poor air quality affect individuals with coronary artery disease?,Vulnerable Groups,poor air quality affect individual coronary artery disease
Is it safe to walk my dog in the park when the AQI is 190?,Outdoor Activities,safe walk dog park aqi 190
Can dust storms from deserts cause hazardous AQI without toxic chemicals?,AQI Information,dust storm desert cause hazardous aqi without toxic chemical
Is it safe to play outdoor football or soccer when air quality is Unhealthy for Sensitive Groups?,Outdoor Activities,safe play outdoor football soccer air quality unhealthy sensitive group
Quick question: Why are patients with congestive heart failure frequently hospitalized during smog?,Vulnerable Groups,quick question patient congestive heart failure frequently hospitalize smog
How does PM2.5 aggravate chronic obstructive pulmonary disease COPD?,Respiratory Health,pm25 aggravate chronic obstructive pulmonary disease copd
Can I do light yoga in the park when the AQI is 490?,Outdoor Activities,light yoga park aqi 490
Can I go for my morning run when the AQI is 160?,Outdoor Activities,go morning run aqi 160
Should outdoor construction work be paused when AQI exceeds 300?,Outdoor Activities,outdoor construction work pause aqi exceed 300
Can children play in the outdoor park when the AQI is 175?,Outdoor Activities,child play outdoor park aqi 175
Can bad air cause dizziness and unsteady balance while walking outside?,Symptoms,bad air cause dizziness unsteady balance walk outside
Is a HEPA H13 air purifier effective against toxic city smog?,Precautions,hepa h13 air purifier effective toxic city smog
Can air pollution cause permanent scarring or fibrosis of lung tissue?,Respiratory Health,air pollution cause permanent scar fibrosis lung tissue
What is the latency period between chronic pollution exposure and respiratory disease onset?,Pollution Exposure,latency period chronic pollution exposure respiratory disease onset
"Doctor, Can dirty air cause chronic inflammation throughout the body?",Health Effects,doctor dirty air cause chronic inflammation throughout body
Quick question: Is it safe to dry laundry outside when particulate levels are very high?,Precautions,quick question safe dry laundry outside particulate level high
Can poor air quality cause nocturnal asthma attacks and nighttime coughing?,Respiratory Health,poor air quality cause nocturnal asthma attack nighttime cough
Can nasal saline rinses help wash out pollution particles from nasal passages?,Precautions,nasal saline rinse help wash pollution particle nasal passage
Could you explain if should office buildings install MERV 13 or higher air filters?,Precautions,could explain office building install merv 13 higher air filter
Does air pollution cause systemic arterial stiffness?,Health Effects,air pollution cause systemic arterial stiffness
Is an AQI of 185 considered safe or dangerous?,AQI Information,aqi 185 consider safe dangerous
Can wearing a respirator make breathing more difficult for asthmatics?,Masks and Protection,wear respirator make breathe difficult asthmatic
Can exposure to biomass smoke cause domestic COPD in non-smokers?,Respiratory Health,exposure biomass smoke cause domestic copd non smoker
Can living in a polluted city shorten human life expectancy?,Health Effects,live pollute city shorten human life expectancy
What guidelines exist for nursing homes during seasonal pollution peaks?,Vulnerable Groups,guideline exist nurse home seasonal pollution peak
Is it necessary to wear an N95 mask inside an air-conditioned office?,Masks and Protection,necessary wear n95 mask inside air condition office
Quick question: What does an AQI between 151 and 200 mean for healthy adults?,AQI Information,quick question aqi 151 200 mean healthy adult
Is an AQI of 140 considered safe or dangerous?,AQI Information,aqi 140 consider safe dangerous
Could you explain if what should I do immediately upon returning home from a polluted street?,Precautions,could explain immediately upon return home pollute street
"Hey AQI-Sense, Is steam inhalation helpful for clearing nasal passages irritated by smog?",Precautions,hey aqi sense steam inhalation helpful clear nasal passage irritate smog
Is an AQI of 125 considered safe or dangerous?,AQI Information,aqi 125 consider safe dangerous
Can cyclists wear sport respirators with replaceable particulate filters?,Masks and Protection,cyclist wear sport respirator replaceable particulate filter
Can you tell me: Can you tell me: What are the long term consequences of breathing diesel exhaust?,Health Effects,tell tell long term consequence breathe diesel exhaust
Quick question: How do the body's mucociliary escalators filter out inhaled soot particles over weeks?,Pollution Exposure,quick question body mucociliary escalator filter inhale soot particle week
Can a 48-hour visit to a heavily polluted megacity cause measurable lung inflammation?,Pollution Exposure,48 hour visit heavily pollute megacity cause measurable lung inflammation
"Is it true that doctor, Should I wear an N95 mask while riding on an open auto-rickshaw or scooter?",Masks and Protection,true doctor wear n95 mask rid open auto rickshaw scooter
What does an AQI of 110 mean?,AQI Information,aqi 110 mean
How does air pollution affect lung capacity and forced expiratory volume?,Respiratory Health,air pollution affect lung capacity force expiratory volume
Why are senior citizens with emphysema at critical risk during smog inversions?,Vulnerable Groups,senior citizen emphysema critical risk smog inversion
How does diesel particulate matter induce airway hyperresponsiveness?,Respiratory Health,diesel particulate matter induce airway hyperresponsiveness
Are seniors with congestive heart failure at risk of hospitalization in smog?,Vulnerable Groups,senior congestive heart failure risk hospitalization smog
Why is proper nose wire adjustment crucial for N95 mask performance?,Masks and Protection,proper nose wire adjustment crucial n95 mask performance
What are the carcinogenic compounds found in urban particulate matter?,Health Effects,carcinogenic compound find urban particulate matter
Should marathons and road cycling events be held during poor air quality?,Outdoor Activities,marathon road cycle event hold poor air quality
Please explain: Should air quality monitors be calibrated regularly for accurate indoor tracking?,Precautions,please explain air quality monitor calibrate regularly accurate indoor track
Why do my nasal passages burn when I breathe in heavy smog?,Symptoms,nasal passage burn breathe heavy smog
